rang_societe;identifiant_societe;denomination;domaines;categories;nb_etablissements;nb_villes;villes;departements;adresses;meilleure_priorite;score_max;score_moyen
66;269500088;CTRE HOSPITALIER SPECIALISE ROGER PREVOT;PUBLIC;PUB_HOPITAL;11;5;MOISSELLES, GENNEVILLIERS, LA GARENNE-COLOMBES, LEVALLOIS-PERRET, CLICHY;95, 92;52 RUE DE PARIS 95570 MOISSELLES, 4 RUE DANTON 92230 GENNEVILLIERS, 6 RUE DANTON 92230 GENNEVILLIERS, 22 RUE DE CHATEAUDUN 92250 LA GARENNE-COLOMBES, 23 B RUE DE PLAISANCE 92250 LA GARENNE-COLOMBES, 8 IMPASSE GRAVEL 92300 LEVALLOIS-PERRET, 2 RUE DANTON 92230 GENNEVILLIERS, 3 RUE DE LA PAIX 92230 GENNEVILLIERS;CHAUDE;85;75.4
67;484434113;LNA ES;PUBLIC;PUB_HOPITAL;11;7;VERTOU, SERRIS, MEAUX, COULOMMIERS, EPINAY-SUR-SEINE, ROMAINVILLE, ENNERY;44, 77, 93, 95;7 BOULEVARD AUGUSTE PRIOU 44120 VERTOU, 2 COURS DU RHIN 77700 SERRIS, 1 COURS DU RHIN 77700 SERRIS, 45 B COURS DU DANUBE 77700 SERRIS, SMR 2 B RUE D'ORGEMONT 77100 MEAUX, USLD 2 B RUE D'ORGEMONT 77100 MEAUX, 17 RUE DU PRE MEUNIER 77120 COULOMMIERS, 1 PLACE DOCTEUR DU JEAN TARRIUS 93800 EPINAY-SUR-SEINE;CHAUDE;85;68.5
68;130007297;DIRECTION DEPARTEMENTALE DES FINANCES PUBLIQUES DES HAUTS DE SEINE (DDFIP);PUBLIC;PUB_MAIRIE;10;9;NANTERRE, NEUILLY-SUR-SEINE, SCEAUX, SEVRES, VANVES, ISSY LES MOULINEAUX, ASNIERES-SUR-SEINE, COLOMBES;92;167 AVENUE FREDERIC ET IRENE JOLIOT CURIE 92000 NANTERRE, CENTRE DES FINANCES PUBLIQUES 74 RUE CHAUVEAU 92200 NEUILLY-SUR-SEINE, CENTRE DES FINANCES PUBLIQUES 130 RUE HOUDAN 92330 SCEAUX, CENTRE DES FINANCES PUBLIQUES 8 AVENUE DE L'EUROPE 92310 SEVRES, CENTRE DES FINANCES PUBLIQUES 58 BOULEVARD DU LYCEE 92170 VANVES, CENTRE DES FINANCES PUBLIQUES 1 PL D ALEMBERT 92130 ISSY LES MOULINEAUX, CENTRE DES FINANCES PUBLIQUES 51 AVENUE FLACHAT 92600 ASNIERES-SUR-SEINE, CENTRE DES FINANCES PUBLIQUES 5 RUE DU BOURNARD 92700 COLOMBES;CHAUDE;85;77.5
69;160022117;DIRECTION NATIONALE DES VERIFICATIONS DE SITUATIONS FISCALES (DNVSF);PUBLIC;PUB_MAIRIE;10;2;PARIS, PARIS 17;75;34 RUE AMPERE 75017 PARIS, 127 RUE DE SAUSSURE 75017 PARIS, 1287 R RUE DE SAUSSURE 75017 PARIS 17;CHAUDE;85;76.5
70;219200045;COMMUNE D ASNIERES SUR SEINE;PUBLIC;PUB_MAIRIE, PUB_ECOLE;10;1;ASNIERES-SUR-SEINE;92;1 PLACE DE L’HOTEL DE VILLE 92600 ASNIERES-SUR-SEINE, 155 AVENUE D’ARGENTEUIL 92600 ASNIERES-SUR-SEINE, 185 AVENUE D’ARGENTEUIL 92600 ASNIERES-SUR-SEINE, 87 A 89 87 RUE PIERRE BOUDOU 92600 ASNIERES-SUR-SEINE, 85 RUE PIERRE BOUDOU 92600 ASNIERES-SUR-SEINE, 16 RUE PIERRE BOUDOU 92600 ASNIERES-SUR-SEINE, 60 RUE DE LA COMETE 92600 ASNIERES-SUR-SEINE, 5 RUE JULES FERRY 92600 ASNIERES-SUR-SEINE;CHAUDE;85;72.5
71;219200243;COMMUNE DE CLICHY;PUBLIC;PUB_MAIRIE, PUB_ECOLE;10;1;CLICHY;92;80 BOULEVARD JEAN JAURES 92110 CLICHY, 17 RUE D'ALSACE 92110 CLICHY, 21 RUE D'ALSACE 92110 CLICHY, 19 RUE D'ALSACE 92110 CLICHY, 14 RUE ALEXANDRE ANTONINI 92110 CLICHY, 43 A 45 43 RUE GEORGES BOISSEAU 92110 CLICHY, 2 RUE FERDINAND BUISSON 92110 CLICHY, 6 RUE FERDINAND BUISSON 92110 CLICHY;CHAUDE;85;75.5
72;219200441;COMMUNE DE LEVALLOIS PERRET;PUBLIC, PRIVE;PUB_MAIRIE, PRIV_LOISIRS, PUB_ECOLE;10;3;LEVALLOIS-PERRET, FONTENAY-SAINT-PERE, LEVALLOIS PERRET;92, 78;HOTEL DE VILLE PLACE DE LA REPUBLIQUE 92300 LEVALLOIS-PERRET, 7 RUE DE SAUSSAYE 78440 FONTENAY-SAINT-PERE, 81 RUE MARIUS AUFAN 92300 LEVALLOIS-PERRET, 2 RUE BARA 92300 LEVALLOIS-PERRET, 5 RUE JULES FERRY 92300 LEVALLOIS-PERRET, 7 RUE JULES FERRY 92300 LEVALLOIS-PERRET, 8 RUE RIVAY 92300 LEVALLOIS-PERRET, 124 RUE DU PDT WILSON 92300 LEVALLOIS PERRET;CHAUDE;85;73.2
73;219200516;COMMUNE DE NEUILLY SUR SEINE;PUBLIC;PUB_MAIRIE, PUB_ECOLE;10;1;NEUILLY-SUR-SEINE;92;96 AVENUE ACHILLE PERETTI 92200 NEUILLY-SUR-SEINE, 101 RUE JACQUES DULUD 92200 NEUILLY-SUR-SEINE, 17 RUE DE LA FERME 92200 NEUILLY-SUR-SEINE, 15 RUE DE LA FERME 92200 NEUILLY-SUR-SEINE, 20 RUE DES HUISSIERS 92200 NEUILLY-SUR-SEINE, 56 RUE MADELEINE MICHELIS 92200 NEUILLY-SUR-SEINE, 1 RUE PAULINE BORGHESE 92200 NEUILLY-SUR-SEINE, 9 RUE DES POISSONNIERS 92200 NEUILLY-SUR-SEINE;CHAUDE;85;76.0
74;219200623;COMMUNE DE PUTEAUX;PUBLIC;PUB_MAIRIE, PUB_ECOLE;10;1;PUTEAUX;92;131 RUE DE LA REPUBLIQUE 92800 PUTEAUX, 7 RUE COLLIN 92800 PUTEAUX, 8 RUE COLLIN 92800 PUTEAUX, 48 RUE EUGENE EICHENBERGER 92800 PUTEAUX, 4 RUE CHARLES LORILLEUX 92800 PUTEAUX, 6 A 8 6 RUE CHARLES LORILLEUX 92800 PUTEAUX, 23 RUE LOUIS POUEY 92800 PUTEAUX, 78 RUE DE LA REPUBLIQUE 92800 PUTEAUX;CHAUDE;85;72.0
75;219200755;COMMUNE DE VANVES;PUBLIC;PUB_MAIRIE, PUB_ECOLE;10;1;VANVES;92;23 RUE MARY BESSEYRE 92170 VANVES, 27 RUE LOUIS DARDENNE 92170 VANVES, 8 RUE FALRET 92170 VANVES, 18 RUE FALRET 92170 VANVES, 36 RUE ANTOINE FRATACCI 92170 VANVES, 5 A 7 5 RUE GAMBETTA 92170 VANVES, 1 RUE GAMBETTA 92170 VANVES, 20 RUE MARCEAU 92170 VANVES;CHAUDE;85;74.0
76;269201414;ETABLISSEMENT PUBLIC DE SANTE ERASME;PUBLIC;PUB_HOPITAL;10;6;ANTONY, SURESNES, CHATENAY-MALABRY, CLAMART, SCEAUX, MONTROUGE;92;143 AVENUE ARMAND GUILLEBAUD 92160 ANTONY, 79 RUE PROSPER LEGOUTE 92160 ANTONY, 5 RUE MICHELET 92150 SURESNES, 138 AVENUE DE LA DIVISION LECLERC 92290 CHATENAY-MALABRY, 24 AVENUE DU DOCTEUR CALMETTE 92140 CLAMART, 17 AVENUE DE VERDUN 92330 SCEAUX, 18 RUE CAMILLE PELLETAN 92120 MONTROUGE, 11 RUE DES VALLEES 92290 CHATENAY-MALABRY;CHAUDE;85;74.5
77;130015225;DISI ILE DE FRANCE (DISI);PUBLIC;PUB_MAIRIE;9;8;VERSAILLES, PARIS, NOISIEL, NEMOURS, SAINT-GERMAIN-EN-LAYE, NANTERRE, MONTREUIL, CERGY;78, 75, 77, 92, 93, 95;54 RUE DES CHANTIERS 78000 VERSAILLES, 16 RUE NOTRE-DAME DES VICTOIRES 75002 PARIS, 7 ALLEE SIMONE DE BEAUVOIR 77186 NOISIEL, 22 AV J F KENNEDY 77140 NEMOURS, 16 AVENUE DE SAINT-CLOUD 78000 VERSAILLES, 82 RUE DU MAL LYAUTEY 78100 SAINT-GERMAIN-EN-LAYE, CENTRE ADMINISTRATIF 167-177 167 AVENUE FREDERIC ET IRENE JOLIOT CURIE 92000 NANTERRE, 10 RUE AUGUSTE BLANQUI 93100 MONTREUIL;CHAUDE;85;70.4
78;177502309;DIRECTION INTERREGIONALE DES DOUANES ILE-DE-FRANCE (DID);PUBLIC;PUB_MAIRIE;9;5;PARIS, VILLEBON-SUR-YVETTE, DUGNY, BOISSY-SAINT-LEGER, GARGES-LES-GONESSE;75, 91, 93, 94, 95;NO 014 A 016 14 RUE YVES TOUDIC 75010 PARIS, 7 RUE DES FRERES MORANE 75015 PARIS, 84 RUE D'HAUTEVILLE 75010 PARIS, 30 RUE RAOUL WALLENBERG 75019 PARIS, 12-14 12 AVENUE DE LA BALTIQUE 91140 VILLEBON-SUR-YVETTE, BASE AERO NAVALE RUE S ET J LORENZI 93440 DUGNY, 3 RUE DE L'EGLISE 94470 BOISSY-SAINT-LEGER, 21-23 21 RUE DES SABLONS 94470 BOISSY-SAINT-LEGER;CHAUDE;85;74.9
79;219200268;COMMUNE DE COURBEVOIE;PUBLIC;PUB_MAIRIE, PUB_ECOLE;9;1;COURBEVOIE;92;2 PLACE DE L'HOTEL DE VILLE 92400 COURBEVOIE, 7 ET 9 RUE DE BELFORT 92400 COURBEVOIE, 20 B RUE DE BEZONS 92400 COURBEVOIE, 24 RUE CARNOT 92400 COURBEVOIE, 6 CHEMIN DES ECOLIERS 92400 COURBEVOIE, 12 RUE DU CAYLA 92400 COURBEVOIE, 25 RUE DE COLOMBES 92400 COURBEVOIE, 8 ALLEE MOZART 92400 COURBEVOIE;CHAUDE;85;71.1
80;313524753;COSEM COORD OEUVRES SOCIALES;PRIVE;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE;9;2;PARIS, EVRY-COURCOURONNES;75, 91;9 RUE BOUDREAU 75009 PARIS, 45 AVENUE DU MAINE 75014 PARIS, 149 RUE DE SEVRES 75015 PARIS, 20 RUE LEBLANC 75015 PARIS, 2 RUE AMBROISE PARE 75010 PARIS, 124 B BOULEVARD DE MAGENTA 75010 PARIS, 3 RUE THENARD 75005 PARIS, 13 RUE DE LA PEPINIERE 75008 PARIS;CHAUDE;85;76.3
81;488960527;CITHEA FAMILLE ET PROFESSIONNEL - CENTRE D'INTERVENTION THERAPEUTIQUE ET D'ACCOMPAGNEMENT (CITHEA);PRIVE;PRIV_SANTE_CENTRE;9;4;PARIS, EVRY-COURCOURONNES, COLOMBES, VITRY-SUR-SEINE;75, 91, 92, 94;43 RUE DE CHARENTON 75012 PARIS, 6 RUE BAULANT 75012 PARIS, 10 RUE BASFROI 75011 PARIS, 6 RUE SIMONE WEIL 75013 PARIS, 19 RUE ROSENWALD 75015 PARIS, 21 RUE DAUBENTON 75005 PARIS, 60 ALLEE DES CHAMPS ELYSEES 91080 EVRY-COURCOURONNES, BAT 1 3 VILLA KREISSER 92700 COLOMBES;CHAUDE;85;73.6
82;177502317;DIRECTION REGIONALE DES DOUANES PARIS (DRD);PUBLIC;PUB_MAIRIE;8;1;PARIS;75;30 RUE RAOUL WALLENBERG 75019 PARIS, 18 RUE DE DUNKERQUE 75010 PARIS, 10 RUE MERCOEUR 75011 PARIS, 3EME ETAGE - AILE OUEST 30 RUE RAOUL WALLENBERG 75019 PARIS, RDC 30 RUE RAOUL WALLENBERG 75019 PARIS, 3EME ETAGE - AILE EST 30 RUE RAOUL WALLENBERG 75019 PARIS, 5EME ETAGE 30 RUE RAOUL WALLENBERG 75019 PARIS, 14 RUE YVES TOUDIC 75010 PARIS;CHAUDE;85;81.2
83;180007015;OFFICE NATIONAL DES COMBATTANTS ET DES VICTIMES DE GUERRE (ONACVG);PUBLIC;PUB_MAIRIE;8;6;PARIS, PARIS 04, MELUN, VERSAILLES, EVRY-COURCOURONNES, SURESNES;75, 77, 78, 91, 92;HOTEL NATIONAL DES INVALIDES 129 RUE DE GRENELLE 75007 PARIS, PONT DE L'ARCHEVECHE SQUARE DE L ILE DE FRANCE 75004 PARIS 04, PARC ANDRE-CITROEN - JARDIN EUGENIE DJENDI 29 RUE DE LA MONTAGNE DE LA FAGE 75015 PARIS, 65 QUAI JACQUES CHIRAC 75007 PARIS, CITE ADMINISTRATIVE - TOUR C 20 QUAI HIPPOLYTE ROSSIGNOL 77000 MELUN, CASERNE D'ARTOIS 9 T RUE EDOUARD LEFEBVRE 78000 VERSAILLES, CITE ADMINISTRATIVE BOULEVARD DE FRANCE - GEORGES POMPIDOU 91000 EVRY-COURCOURONNES, 1 AVENUE DU PROFESSEUR LEON BERNARD 92150 SURESNES;CHAUDE;85;74.0
84;552015620;CENTRE CHIRURGICAL DES PRINCES (CLINIQUE DES PRINCES);PUBLIC;PUB_HOPITAL;8;2;BOULOGNE-BILLANCOURT, CHATOU;92, 78;13 ROND-POINT ANDRE MALRAUX 92100 BOULOGNE-BILLANCOURT, 30 TER ET 32 AVENUE DE BRIMONT 78400 CHATOU, 28 RUE DE PARIS 92100 BOULOGNE-BILLANCOURT, 31 RUE DES PRINCES 92100 BOULOGNE-BILLANCOURT, 26 RUE DE PARIS 92100 BOULOGNE-BILLANCOURT, 39 ROND-POINT ANDRE MALRAUX 92100 BOULOGNE-BILLANCOURT, 29 RUE DES PRINCES 92100 BOULOGNE-BILLANCOURT, 41 AVENUE VICTOR HUGO 92100 BOULOGNE-BILLANCOURT;CHAUDE;85;84.4
85;269501631;CENTRE HOSPITALIER VICTOR DUPOUY;PUBLIC;PUB_HOPITAL;7;3;ARGENTEUIL, BEZONS, HERBLAY-SUR-SEINE;95;69 RUE DU LIEUTENANT COLONEL PRUDHON 95100 ARGENTEUIL, 2 PLACE SAINT JUST 95100 ARGENTEUIL, CITE DES SYCOMORES 16 RUE DE LA BERTHIE 95870 BEZONS, 25 BOULEVARD GALLIENI 95100 ARGENTEUIL, 1 RUE J J ROUSSEAU 95220 HERBLAY-SUR-SEINE, APPT 36 16 SQUARE AQUITAINE 95100 ARGENTEUIL;CHAUDE;85;82.9
86;383538550;DIAVERUM SAINT-DENIS;PUBLIC;PUB_HOPITAL;7;4;PARIS, SAINT-DENIS, PANTIN, EPINAY-SUR-SEINE;75, 93;11 PASSAGE COURTOIS 75011 PARIS, 12 B RUE SAINT-MAUR 75011 PARIS, 31 RUE BOURET 75019 PARIS, RUE DES POSTILLONS 30 RUE DIDEROT 93200 SAINT-DENIS, 16 RUE HOCHE 93500 PANTIN, 104-106 104 AVENUE DE LATTRE DE TASSIGNY 93800 EPINAY-SUR-SEINE, 32 RUE DES MOULINS GEMEAUX 93200 SAINT-DENIS;CHAUDE;85;76.4
87;784257859;CLINIQUE DU SPORT;PUBLIC;PUB_HOPITAL;7;1;PARIS;75;36 B BOULEVARD SAINT-MARCEL 75005 PARIS, 19 BOULEVARD SAINT-MARCEL 75005 PARIS, 34 T BOULEVARD SAINT-MARCEL 75005 PARIS, 38 BOULEVARD SAINT-MARCEL 75005 PARIS, 38 B BOULEVARD SAINT-MARCEL 75005 PARIS, 34 BOULEVARD SAINT-MARCEL 75005 PARIS, 30 BOULEVARD SAINT-MARCEL 75005 PARIS;CHAUDE;85;81.4
88;177500006;PREFECTURE DE REGION ILE-DE-FRANCE;PUBLIC;PUB_MAIRIE;6;2;PARIS, PARIS 04;75;5 RUE LEBLANC 75015 PARIS, 29 RUE BARBET DE JOUY 75007 PARIS, 17 BOULEVARD MORLAND 75004 PARIS, 4 PL HOTEL VILLE ESP LIBERATION 75004 PARIS 04, 50 AVENUE DAUMESNIL 75012 PARIS;CHAUDE;85;81.7
89;110014016;MINISTERE DE L'INTERIEUR;PUBLIC;PUB_MAIRIE;5;3;PARIS 08, PARIS, LE CHESNAY-ROCQUENCOURT;75, 78;HOTEL DE BEAUVAU PLACE BEAUVAU 75008 PARIS 08, IMMEUBLE LUMIERE 40 AVENUE DES TERROIRS DE FRANCE 75012 PARIS, 18-20 18 RUE DES PYRENEES 75020 PARIS, 11 RUE DES SAUSSAIES 75008 PARIS, 168 RUE DE VERSAILLES 78150 LE CHESNAY-ROCQUENCOURT;CHAUDE;85;79.0
90;784353302;ECOLE INTERNATIONALE BILINGUE MONCEAU (EIB MONCEAU);PUBLIC;PUB_ECOLE;5;2;PARIS, MEUDON;75, 92;6 AVENUE VAN DYCK 75008 PARIS, 7 RUE ALFRED DE VIGNY 75008 PARIS, 117 BOULEVARD MALESHERBES 75008 PARIS, 67 RUE DE MONCEAU 75008 PARIS, RUE HENRI ETLIN 92360 MEUDON;CHAUDE;85;83.0
91;120001011;SECRETARIAT GENERAL DU GOUVERNEMENT (SGG);PUBLIC;PUB_MAIRIE;4;1;PARIS;75;57 RUE DE VARENNE 75007 PARIS, 21 SQUARE SAINT-CHARLES 75012 PARIS, 113 RUE DE GRENELLE 75007 PARIS, 20 AVENUE DE SEGUR 75007 PARIS;CHAUDE;85;82.5
92;488411844;BTP RESIDENCES MEDICO SOCIALES;PUBLIC;PUB_HOPITAL;4;3;PARIS, PONTAULT-COMBAULT, BAGNOLET;75, 77, 93;7 RUE DU REGARD 75006 PARIS, RESIDENCE LE PARC RUE DES BERCHERES 77340 PONTAULT-COMBAULT, LES FLORALIES 2 RUE DESCARTES 93170 BAGNOLET, USLD LES FLORALIES 2 RUE DESCARTES 93170 BAGNOLET;CHAUDE;85;79.2
93;110001013;GOUVERNEMENT PREMIER MINISTRE;PUBLIC;PUB_MAIRIE;3;1;PARIS;75;HOTEL MATIGNON 57 RUE DE VARENNE 75007 PARIS, 5 PLACE DES VINS DE FRANCE 75012 PARIS, 66 RUE DE BELLECHASSE 75007 PARIS;CHAUDE;85;81.7
94;130006802;SECRETARIAT GENERAL DES MINISTERES CHARGES DES AFFAIRES SOCIALES (SG);PUBLIC;PUB_MAIRIE;3;3;PARIS 7, PARIS, MONTROUGE;75, 92;14 AV DUQUESNE 75007 PARIS 7, 74-78 74 RUE OLIVIER DE SERRES 75015 PARIS, 8 RUE FRANCOIS ORY 92120 MONTROUGE;CHAUDE;85;83.3
95;269200978;CENTRE DE GERONTOLOGIE LES ABONDANCES;PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CENTRE;3;1;BOULOGNE-BILLANCOURT;92;49 RUE SAINT-DENIS 92100 BOULOGNE-BILLANCOURT;CHAUDE;85;83.3
96;269201380;CTRE D'ACCUEIL DE SOINS HOSP NANTERRE;PUBLIC;PUB_HOPITAL;3;1;NANTERRE;92;403 AVENUE DE LA REPUBLIQUE 92000 NANTERRE, 9 RUE THOMAS LEMAITRE 92000 NANTERRE, 3 RUE FERNANDO 92000 NANTERRE;CHAUDE;85;83.3
97;269201547;CENTRE HOSPITALIER DES QUATRE VILLES (CHI);PUBLIC;PUB_HOPITAL;3;2;SAINT-CLOUD, SEVRES;92;3 PLACE DE SILLY 92210 SAINT-CLOUD, 1 RUE LELEGARD 92210 SAINT-CLOUD, 141 GRANDE RUE 92310 SEVRES;CHAUDE;85;85.0
98;300512647;ASSOCIATION AMBROISE CROIZAT SANTE (AAC SANTE);PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CENTRE;3;1;PARIS;75;4 RUE LASSON 75012 PARIS;CHAUDE;85;83.3
99;302891114;GROUPE SOS SANTE;PUBLIC;PUB_HOPITAL;3;3;METZ, PARIS 19, VILLIERS-SUR-MARNE;57, 75, 94;47 RUE HAUTE SEILLE 57000 METZ, 9 SENTIER DES DOREES 75019 PARIS 19, 6-8 6 RUE ENTRONCAMENTO 94350 VILLIERS-SUR-MARNE;CHAUDE;85;71.7
100;310709886;ASS DIWAN BREIZH;PUBLIC;PUB_ECOLE;3;2;LANDERNEAU, PARIS;29, 75;ZONE ARTISANALE SAINT ERNEL 29800 LANDERNEAU, 5 RUE DU MOULIN VERT 75014 PARIS, 38 RUE LIANCOURT 75014 PARIS;CHAUDE;85;73.3
101;327807103;SOCIETE D'EXPLOITATION DU CENTRE CARDIOLOGIQUE DU NORD (CCN CARDIO);PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CABINET;3;1;SAINT-DENIS;93;32-36 32 RUE DES MOULINS GEMEAUX 93200 SAINT-DENIS, 3 RUE ELSA TRIOLET 93200 SAINT-DENIS, 10 BOULEVARD ANATOLE FRANCE 93200 SAINT-DENIS;CHAUDE;85;78.3
102;408457299;ASSOCIATION HOPITAL FOCH;PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CABINET;3;2;SURESNES, COURBEVOIE;92;40 RUE WORTH 92150 SURESNES, 28 AV DU GEN CHARLES DE GAULLE 92150 SURESNES, 12 PLACE DES REFLETS 92400 COURBEVOIE;CHAUDE;85;76.7
103;840344428;CLINIQUE REMUSAT (CLINIQUE DROUOT REMUSAT);PUBLIC;PUB_HOPITAL;3;1;PARIS;75;21 RUE DE REMUSAT 75016 PARIS, 30-34 COURS DE VINCENNES 75012 PARIS, 36-38 COURS DE VINCENNES 75012 PARIS;CHAUDE;85;81.7
104;110006012;MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES;PUBLIC;PUB_MAIRIE;2;1;PARIS;75;37 QUAI D'ORSAY 75007 PARIS, 27 RUE DE LA CONVENTION 75015 PARIS;CHAUDE;85;85.0
105;130012610;SECRETARIAT GENERAL DU MINISTERE DE L'AGRICULTURE ET DE L'ALIMENTATION (SG);PUBLIC;PUB_MAIRIE;2;2;PARIS, MONTREUIL;75, 93;78 RUE DE VARENNE 75007 PARIS, 12 RUE HENRI ROL TANGUY 93100 MONTREUIL;CHAUDE;85;72.5
106;130014442;AGENCE DE GESTION ET DE RECOUVREMENT DES AVOIRS SAISIS ET CONFISQUES (AGRASC);PUBLIC;PUB_MAIRIE;2;1;PARIS;75;98 A 102 98 RUE DE RICHELIEU 75002 PARIS, [NON-DIFFUSIBLE];CHAUDE;85;70.0
107;160021036;DIRECTION SPECIALISEE DES FINANCES PUBLIQUES POUR L'ETRANGER (DSFIPE);PUBLIC;PUB_MAIRIE;2;2;NANTES, PARIS;44, 75;30 RUE DE MALVILLE 44100 NANTES, 27 RUE DE LA CONVENTION 75015 PARIS;CHAUDE;85;70.0
108;180036014;CENTRE HOSPITALIER NATIONAL D'OPHTALMOLOGIE QUINZE-VINGTS (CHNO XV XX);PUBLIC;PUB_HOPITAL;2;1;PARIS;75;28 RUE DE CHARENTON 75012 PARIS;CHAUDE;85;85.0
109;227605409;DEPARTEMENT DE LA SEINE MARITIME;PUBLIC;PUB_MAIRIE;2;2;ROUEN, PARIS;76, 75;HOTEL DU DEPARTEMENT QUAI JEAN MOULIN 76100 ROUEN, 18 RUE DE TURBIGO 75002 PARIS;CHAUDE;85;70.0
110;380969832;CLINIQUE DIETETIQUE DE VILLECRESNES (CDV);PUBLIC;PUB_HOPITAL;2;2;VILLECRESNES, PARIS;94, 75;8 BOULEVARD RICHERAND 94440 VILLECRESNES, 22-24 22 RUE DU BANQUIER 75013 PARIS;CHAUDE;85;78.5
111;443055710;CLINIQUE DU CANAL DE L'OURCQ;PUBLIC;PUB_HOPITAL;2;1;PARIS;75;74 RUE PETIT 75019 PARIS, 44 RUE ALPHONSE PENAUD 75020 PARIS;CHAUDE;85;80.0
112;445043326;GROUP HOSPITA DIACONESSES CROIX ST SIMON;PUBLIC;PUB_HOPITAL;2;1;PARIS;75;HOPITA DIACONESSES REUILLY 18 RUE DU SERGENT BAUCHAT 75012 PARIS, HOPITAL CROIX SAINT SIMON 125 RUE D'AVRON 75020 PARIS;CHAUDE;85;85.0
113;498726090;HOSPITALISATION PRIVEE D'ADDICTOLOGIE DES EPINETTES (CLINIQUE DES EPINETTES);PUBLIC;PUB_HOPITAL;2;1;PARIS;75;51 B RUE DES EPINETTES 75017 PARIS, 31 BOULEVARD DE LA TOUR-MAUBOURG 75007 PARIS;CHAUDE;85;85.0
114;692041668;ECOLE PASCAL;PUBLIC;PUB_ECOLE;2;1;PARIS;75;33 BOULEVARD LANNES 75016 PARIS, 11-15 11 RUE DE MONTEVIDEO 75016 PARIS;CHAUDE;85;85.0
115;775681943;ASSOCIATION DE SANTE MENTALE DU 13EME ARRONDISSEMENT DE PARIS (ASM 13);PUBLIC;PUB_HOPITAL;2;2;PARIS, SOISY-SUR-SEINE;75, 91;11 RUE ALBERT BAYET 75013 PARIS, 6 AVENUE DU GENERAL DE GAULLE 91450 SOISY-SUR-SEINE;CHAUDE;85;78.5
116;775691389;POLE DE SANTE DU PLATEAU;PUBLIC;PUB_HOPITAL;2;2;MEUDON, CLAMART;92;3 A 5 3 AVENUE DE VILLACOUBLAY 92360 MEUDON, 5 A 9 5 RUE DES CARNETS 92140 CLAMART;CHAUDE;85;82.5
117;775741101;INSTITUT GUSTAVE ROUSSY;PUBLIC;PUB_HOPITAL;2;2;VILLEJUIF, CHEVILLY-LARUE;94;39 B RUE CAMILLE DESMOULINS 94800 VILLEJUIF, 24 RUE ALBERT THURET 94550 CHEVILLY-LARUE;CHAUDE;85;82.5
118;784201337;ASSOCIATION DU CENTRE ETIENNE MARCEL;PUBLIC;PUB_HOPITAL;2;1;PARIS;75;3 CITE D'ANGOULEME 75011 PARIS, CMPP 10 RUE DU SENTIER 75002 PARIS;CHAUDE;85;82.5
119;784710279;CLINIQUE SAINTE THERESE;PUBLIC;PUB_HOPITAL;2;1;PARIS;75;9 RUE GUSTAVE DORE 75017 PARIS, 7-9-11 7 RUE GUSTAVE DORE 75017 PARIS;CHAUDE;85;85.0
120;784754103;OGEC SAINT LOUIS MONTCALM;PUBLIC;PUB_ECOLE;2;1;PARIS;75;47 RUE MONTCALM 75018 PARIS;CHAUDE;85;85.0
121;785376088;HOPITAL SUISSE DE PARIS;PUBLIC;PUB_HOPITAL;2;1;ISSY-LES-MOULINEAUX;92;10 RUE MINARD 92130 ISSY-LES-MOULINEAUX;CHAUDE;85;85.0
122;100000017;REPUBLIQUE FRANCAISE PRESIDENCE;PUBLIC;PUB_MAIRIE;1;1;PARIS;75;55 RUE DU FAUBOURG SAINT-HONORE 75008 PARIS;CHAUDE;85;85.0
123;110000015;ASSEMBLEE NATIONALE;PUBLIC;PUB_MAIRIE;1;1;PARIS;75;126 RUE DE L'UNIVERSITE 75007 PARIS;CHAUDE;85;85.0
124;110000023;SENAT;PUBLIC;PUB_MAIRIE;1;1;PARIS;75;15 RUE DE VAUGIRARD 75006 PARIS;CHAUDE;85;85.0
125;110000031;CONSEIL ECONOMIQUE SOCIAL ET ENVIRONNEMENTAL (CESE);PUBLIC;PUB_MAIRIE;1;1;PARIS;75;9 PLACE D'IENA 75016 PARIS;CHAUDE;85;85.0
126;110000049;CONSEIL CONSTITUTIONNEL;PUBLIC;PUB_MAIRIE;1;1;PARIS;75;2 RUE DE MONTPENSIER 75001 PARIS;CHAUDE;85;85.0
127;110000072;MINISTERE DU TRAVAIL ET DES SOLIDARITES;PUBLIC;PUB_MAIRIE;1;1;PARIS;75;14 AVENUE DUQUESNE 75007 PARIS;CHAUDE;85;85.0
128;110000106;COMMISSION DE REGULATION DE L'ENERGIE (CRE);PUBLIC;PUB_MAIRIE;1;1;PARIS;75;15 RUE PASQUIER 75008 PARIS;CHAUDE;85;85.0
129;110000122;COMMISSION NATIONALE DE L'INFORMATIQUE ET DES LIBERTES (CNIL);PUBLIC;PUB_MAIRIE;1;1;PARIS;75;3 PLACE DE FONTENOY - UNESCO 75007 PARIS;CHAUDE;85;85.0
